Data Size,Test 1,Test 2,Test 3,Test 4,Test 5,Æ½¾ùÖµ,,,,,,
5000,0.037,0.036,0.035,0.035,0.034,0.0354,,,,,,
10000,0.14,0.131,0.128,0.13,0.15,0.1358,,,,,,
20000,0.452,0.463,0.442,0.439,0.447,0.4486,,,,,,
40000,1.422,1.358,1.349,1.348,1.352,1.3658,,,,,,
80000,3.545,3.724,3.694,3.486,3.515,3.5928,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,5000,0.0072,0.0354
,,,,,,,,,,10000,0.0136,0.1358
,,,,,,,,,,20000,0.029,0.4486
,,,,,,,,,,40000,0.033,1.3658
,,,,,,,,,,80000,0.0728,3.5928
